timestamp,idx,symbol,side,open,high,low,close,atr,atr_pct,rel_vol,imbalance,imbalance_z,shockflip_z,shock_intensity_z,range_atr,donchian_loc,price_flow_div,prior_flow_sign,div_score,trend_dir,trend_aligned,trend_slope,stall_flag,mfe6_atr,mfe10_atr,mfe20_atr,mfe30_atr,mfe60_atr,mfe120_atr,mfe240_atr,did_snap_H6_K0_5,did_snap_H6_K0_75,did_snap_H6_K1_0,did_snap_H10_K0_5,did_snap_H10_K0_75,did_snap_H10_K1_0,did_snap_H20_K0_5,did_snap_H20_K0_75,did_snap_H20_K1_0,did_snap_H30_K0_5,did_snap_H30_K0_75,did_snap_H30_K1_0,did_snap_H60_K0_5,did_snap_H60_K0_75,did_snap_H60_K1_0,did_snap_H120_K0_5,did_snap_H120_K0_75,did_snap_H120_K1_0,did_snap_H240_K0_5,did_snap_H240_K0_75,did_snap_H240_K1_0,barrier_y_H30_R4p0_sl2p5,did_snap,shock_intensity_z_decile,div_score_decile,rel_vol_decile
2024-05-01 12:06:00+00:00,726,BTCUSDT,-1,57700.0,57858.4,57700.0,57858.3,62.66166666666638,0.6734537340492295,1.567872382665529,0.4715261958981018,1.8383974279225272,1.8383974279225272,2.5278612654861985,2.5278612654861985,0.9778752436637671,0.8477668744165372,-1,0.0,1,0,5.497730210117791e-05,0,0.2601271378035958,0.2601271378035958,0.2601271378035958,0.2601271378035958,1.8097188605474157,11.421655983190155,19.263771045562212,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3,0,1
2024-05-02 10:03:00+00:00,2043,BTCUSDT,1,57731.0,57746.0,57590.9,57635.0,39.49500000000044,0.24287009274109198,8.30813020563167,-0.6304769551321284,-1.8147287151442342,-1.8147287151442342,3.927079377036834,3.927079377036834,0.12297824874477342,-0.03703315873269397,-1,0.0,1,1,1.722708502111351e-05,0,2.0483605519686177,3.671350803899187,5.180402582605483,5.180402582605483,14.123306747689497,26.879351816685507,36.827446512216326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,0,9
2024-05-02 18:48:00+00:00,2568,BTCUSDT,-1,59264.0,59418.8,59264.0,59402.100000000006,61.77833333333389,0.6616693396555331,3.19245459992045,0.6110903733305848,2.4323996493676203,2.4323996493676203,2.505732862074014,2.505732862074014,0.9667264395278666,0.7618728514867948,1,0.0,1,0,2.8604247438416645e-05,0,2.138290123290333,2.8667008390213002,5.058407748131716,5.935737987967752,6.599401084522633,13.074163002131229,13.074163002131229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,4
2024-05-03 00:31:00+00:00,2911,BTCUSDT,1,58902.8,58902.8,58800.0,58800.100000000006,43.0883333333335,0.3186667596401925,3.6182342915394483,-0.6743752660357701,-1.860870420694855,-1.860870420694855,2.38579661929254,2.38579661929254,0.00016051364366879655,-0.27509116498554165,-1,0.0,-1,0,-1.577223799984484e-05,1,1.9680501295786632,2.508799752446481,5.799713766293889,6.196572931574648,15.658530924844184,25.248133678876492,27.31133717556936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,4
2024-05-03 01:06:00+00:00,2946,BTCUSDT,-1,59121.3,59309.4,59121.200000000004,59305.200000000004,51.365000000000144,0.5055435464751412,4.878625324224886,0.7099295286701095,1.8056903233122523,1.8056903233122523,3.6639735227554286,3.6639735227554286,0.9463511560676598,0.36568325013991243,1,0.0,-1,1,3.530628186085109e-05,0,1.4971283948214005,1.8456147181933737,1.8456147181933737,1.8456147181933737,2.0247250073006855,2.0247250073006855,2.0247250073006855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,0,6
2024-05-05 00:00:00+00:00,5760,BTCUSDT,-1,63864.3,63960.100000000006,63858.0,63953.9,29.211666666666133,0.03953699184157311,12.693353943141117,0.7089891523377125,2.11194373929176,2.11194373929176,3.4951788667716954,3.4951788667716954,0.9846951370007678,0.5513386293813634,1,0.0,1,0,2.5351487083010344e-06,0,1.8383066126546952,1.8383066126546952,1.8383066126546952,3.796428367661442,19.899583499743468,38.371655160610096,38.371655160610096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,0,9
2024-05-05 00:26:00+00:00,5786,BTCUSDT,-1,63998.0,64099.200000000004,63985.3,64074.0,33.66333333333302,0.10578062896590196,3.7602414118221414,0.7326766409544773,2.1019502578789426,2.1019502578789426,3.3835033170596795,3.3835033170596795,0.9536934950368287,-0.13064911032044985,1,0.0,1,0,3.6171807416514786e-06,0,7.79780176255082,14.080602039806053,20.021784335082867,20.835726309535616,31.012971581344974,36.865036142192636,36.865036142192636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,5
2024-05-05 05:07:00+00:00,6067,BTCUSDT,-1,63369.3,63445.0,63369.3,63444.9,28.525000000000485,0.029565581200753085,6.595140764420684,0.7099823806885109,1.8552275459344554,1.8552275459344554,2.6538124451303062,2.6538124451303062,0.9997881355911052,0.265136414076007,1,0.0,1,0,-3.6104933956411974e-06,0,1.633654688869334,2.4329535495179764,6.716914986853472,8.778264680105073,13.23751095530209,13.23751095530209,13.23751095530209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0,8
2024-05-05 18:09:00+00:00,6849,BTCUSDT,1,64138.100000000006,64154.200000000004,64017.0,64084.0,40.818333333333676,0.2704832299002859,6.245732659833072,-0.7715029160787298,-2.168438723466617,-2.168438723466617,3.3612347392097175,3.3612347392097175,0.13012235385486443,0.177631815162276,-1,0.0,1,1,1.929668997064186e-05,1,0.29398554571066676,0.5046751868034539,0.5046751868034539,0.5046751868034539,0.5046751868034539,0.5046751868034539,0.5046751868034539,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,7,0,7
2024-05-05 18:20:00+00:00,6860,BTCUSDT,1,64097.3,64097.3,63990.700000000004,63999.200000000004,45.54000000000015,0.37922739000069733,2.5467944402599096,-0.6584648884033012,-1.862966780476616,-1.862966780476616,2.340799297269596,2.340799297269596,0.09105180533734407,-0.07111150692601598,-1,0.0,-1,0,1.2042275108596161e-05,1,1.6710584101888075,1.6710584101888075,1.6710584101888075,1.6710584101888075,1.6710584101888075,1.6710584101888075,1.6710584101888075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2
