H,TP_R,SL_R,N,total_R,mean_R,p_win,p_loss,avg_win_R,avg_loss_R,G_ratio
6,1.5,0.25,469,132.84159545717148,0.28324433999396903,0.326226012793177,0.673773987206823,1.377646484824498,-0.24664024278790103,2.704445255911371
6,1.5,0.5,469,93.74353878347009,0.1998796136108104,0.3752665245202559,0.6247334754797441,1.3423762522986349,-0.4863982307887019,1.65778161898583
6,1.5,0.75,469,61.07972062170118,0.13023394588848866,0.4136460554371002,0.5863539445628998,1.3258481293000695,-0.7132175144091359,1.3114170197228638
6,1.5,1.0,469,24.641030281418765,0.05253951019492274,0.43710021321961623,0.5628997867803838,1.3089657082687007,-0.9230944693699428,1.101113414775443
6,1.5,1.25,469,18.141745155954183,0.0386817593943586,0.47761194029850745,0.5223880597014925,1.2862372565437885,-1.1019404094279777,1.0671977692582986
6,1.5,1.5,469,-9.540506393379566,-0.020342231115947903,0.4904051172707889,0.509594882729211,1.273417997756177,-1.2653834555535581,0.9684534845800093
6,1.5,2.0,469,-33.78921954409116,-0.07204524423047155,0.5181236673773987,0.48187633262260127,1.2555782556596755,-1.4995342286256297,0.9002958251930686
6,1.5,2.5,469,-50.53156567014408,-0.10774321038410252,0.535181236673774,0.464818763326226,1.2566143673337367,-1.6786319810592296,0.8619136432115028
6,2.0,0.25,469,154.7840323238399,0.33002991966703604,0.3006396588486141,0.6993603411513859,1.6691311608865973,-0.24562030902795848,2.9212683807099573
6,2.0,0.5,469,114.92366789733995,0.24503980361906175,0.34968017057569295,0.650319829424307,1.5997496738395733,-0.48339435610606607,1.7794855352424073
6,2.0,0.75,469,83.3875803644157,0.17779867881538527,0.3880597014925373,0.6119402985074627,1.5746598706915507,-0.70801573554511,1.4103709050685727
6,2.0,1.0,469,45.90496188937483,0.09787838355943461,0.4115138592750533,0.5884861407249466,1.5475005256060823,-0.9158066650456489,1.1816129211834951
6,2.0,1.25,469,40.47518527598876,0.08630103470360076,0.4520255863539446,0.5479744136460555,1.5100795042992234,-1.08817770286166,1.144729110685323
6,2.0,1.5,469,14.75545691341255,0.03146152860002676,0.4669509594882729,0.5330490405117271,1.4925496443666895,-1.2484516608115703,1.0472760200027225
6,2.0,2.0,469,-10.49325623729906,-0.022373680676543835,0.4946695095948827,0.5053304904051172,1.46805064119692,-1.481354451455631,0.9701115795415043
6,2.0,2.5,469,-34.125065773868315,-0.07276133427264032,0.5074626865671642,0.4925373134328358,1.4701362976182866,-1.662413439857232,0.9111366909273761
6,2.5,0.25,469,173.82799940839723,0.3706353931948768,0.2921108742004264,0.7078891257995735,1.8636988544735238,-0.24547814353757713,3.132891749546926
6,2.5,0.5,469,131.77821710725877,0.2809770087574814,0.3411513859275053,0.6588486140724946,1.7556173625807134,-0.4825908119924121,1.8837025251479231
6,2.5,0.75,469,103.06080882904128,0.21974586104273194,0.3837953091684435,0.6162046908315565,1.705915293261682,-0.7058959998548842,1.5051902729110664
6,2.5,1.0,469,66.07819035400038,0.14089166386780466,0.4072494669509595,0.5927505330490405,1.6735301453571434,-0.9121081561482519,1.2605955538054774
6,2.5,1.25,469,58.67690446495141,0.1251106705009625,0.44562899786780386,0.5543710021321961,1.627537262608405,-1.0826091670007896,1.2084597161075348
6,2.5,1.5,469,32.9571761023752,0.07027116439738848,0.4605543710021322,0.5394456289978679,1.6059574309723441,-1.2408285730737199,1.1049826857388942
6,2.5,2.0,469,8.814379265365817,0.018793985640438843,0.488272921108742,0.511727078891258,1.579528812424057,-1.4704071615822631,1.0249771486625932
6,2.5,2.5,469,-13.39677231280977,-0.028564546509189274,0.5010660980810234,0.4989339019189765,1.584840196080721,-1.6488641811614495,0.9652784223717501
6,3.0,0.25,469,189.4028742040706,0.4038440814585727,0.2899786780383795,0.7100213219616205,1.9937618960187218,-0.2454917226861129,3.316890317593028
6,3.0,0.5,469,147.86869511560474,0.31528506421237684,0.3390191897654584,0.6609808102345416,1.8710016101966043,-0.4826469706634044,1.9882912701840227
6,3.0,0.75,469,120.99531768172324,0.2579857519866167,0.3816631130063966,0.6183368869936035,1.8198282773172332,-0.7060480826140052,1.5909303361714957
6,3.0,1.0,469,84.26269920668238,0.17966460385220126,0.4051172707889126,0.5948827292110874,1.7833092979784015,-0.9124231806781865,1.3310052256375116
6,3.0,1.25,469,77.01935839072154,0.1642203803640118,0.44349680170575695,0.5565031982942431,1.7295564510140709,-1.0832505111885262,1.272414664782661
6,3.0,1.5,469,51.04963002814534,0.10884782521992609,0.4584221748400853,0.5415778251599147,1.7045546930967275,-1.2418489330222489,1.1618415798385258
6,3.0,2.0,469,26.2573626173856,0.05598584779826354,0.4861407249466951,0.5138592750533049,1.671732813145301,-1.472604642239598,1.0739857167974138
6,3.0,2.5,469,5.046211039209993,0.010759511810682288,0.4989339019189765,0.5010660980810234,1.6811129462862782,-1.6524860357096984,1.012994504025459
6,4.0,0.25,469,215.76573004764825,0.4600548615088449,0.2878464818763326,0.7121535181236673,2.2056627681638807,-0.24550522052238205,3.631329685412538
6,4.0,0.5,469,175.11611421877845,0.37338190664984744,0.3368869936034115,0.6631130063965884,2.0584599691419863,-0.48270276818538704,2.166503190144232
6,4.0,0.75,469,146.85191536336444,0.3131170903270031,0.3795309168443497,0.6204690831556503,1.9795272995585724,-0.7061991201307956,1.714594142237916
6,4.0,1.0,469,110.32120729675555,0.23522645479052356,0.40298507462686567,0.5970149253731343,1.9359115063807903,-0.9127359550329073,1.431673921908628
